브랜드,제목,채널명,업로드일,조회수,좋아요수,댓글수,영상URL
오쏘몰,아침마다 피곤하다면? 오쏘몰 이뮨,함께장터,2026-08-09,90,0,0,https://www.youtube.com/watch?v=wNc5cqQMfUE
오쏘몰,건강관리로 많이 찾는 오쏘몰 TOP5,순정퍼피 - 인기상품 순위를 정해드려요!,2026-08-08,1,0,1,https://www.youtube.com/watch?v=dnIhMyoW9bw
오쏘몰,건강관리로 많이 찾는 오쏘몰 TOP5,바겐인포,2026-08-08,1,0,1,https://www.youtube.com/watch?v=FjB-EGLFRkQ
오쏘몰,"독일 프리미엄 멀티비타민 오쏘몰 이뮨, 30일 섭취 후기",쿠폰중독,2026-08-02,3,0,1,https://www.youtube.com/watch?v=b99YMQj0FY0
오쏘몰,오쏘몰 이뮨 vs 바이탈M 확실한 차이,윤토리의다이소,2026-08-01,36,1,1,https://www.youtube.com/watch?v=33FCtGUt8gc
오쏘몰,매일 피곤한 30대 주목! 마시는 비타민 오쏘몰 이뮨,떠렁쥬의 일상 아이템,2026-07-31,246,2,1,https://www.youtube.com/watch?v=LfUgW6WYq88
오쏘몰,카톡 선물하기에서 자주 보이던 오쏘몰 이뮨｜생일선물 언박싱,HATI and POTATO,2026-07-29,39,2,0,https://www.youtube.com/watch?v=RE0y1c-mNd8
오쏘몰,"독일 직수입 오쏘몰 이뮨, 2026년까지 유통기한 넉넉한 멀티비타민 추천!",가격체크,2026-07-23,1,0,1,https://www.youtube.com/watch?v=2D8k6-EAHR0
오쏘몰,"오쏘몰 이뮨 멀티비타민 추천, 최신정보 후기확인 가성비 TOP5",모두의 리뷰,2026-07-23,1,0,1,https://www.youtube.com/watch?v=3_RuwHYqGY8
오쏘몰,"독일 직수입 오쏘몰 이뮨, 30일분 꽉 채운 비타민으로 활력 충전! (feat. 쇼핑백)",이거어때,2026-07-23,1,0,1,https://www.youtube.com/watch?v=wOxuJgYbaU8
오쏘몰,"독일 프리미엄 멀티비타민 오쏘몰 이뮨, 30일 섭취 후기",쿠폰스팟,2026-07-22,1,0,1,https://www.youtube.com/watch?v=4POoQO6YRh0
오쏘몰,멀티비타민 오쏘몰 이뮨 #ai광고 #오쏘몰 #wanigogo,WaniGogoAi,2026-07-21,167,1,0,https://www.youtube.com/watch?v=LdHeqBxH0Kc
오쏘몰,오쏘몰 멀티비타민 #ai광고 #오쏘몰 #wanigogo,WaniGogoAi,2026-07-20,21,1,0,https://www.youtube.com/watch?v=HFQPeYw5u4E
오쏘몰,오쏘몰 멀티 비타민 AI광고 #ai광고 #오쏘몰 #wanigogo,WaniGogoAi,2026-07-20,34,1,0,https://www.youtube.com/watch?v=IqZVtdFU76w
오쏘몰,건강관리로 많이 찾는 오쏘몰이뮨 TOP5,쇼핑토리,2026-07-20,1,0,1,https://www.youtube.com/watch?v=M1W7ki6FGqE
오쏘몰,오쏘몰 이뮨 멀티비타민으로 하루 종일 활기찬 면역력 챙기세요! 💪✨,지수네 추천템,2026-07-19,2,0,1,https://www.youtube.com/watch?v=vXFmNI5aE1g
오쏘몰,"독일 명품 멀티비타민 오쏘몰 이뮨, 2026년까지 유통기한! 30일분 + 쇼핑백 증정",가격체크,2026-07-19,4,0,1,https://www.youtube.com/watch?v=iSCL1ZJXDYI
오쏘몰,유통기한 2026년 12월! 독일 명품 오쏘몰 이뮨 비타민 30일분 + 쇼핑백 증정,가격체크,2026-07-17,1,0,1,https://www.youtube.com/watch?v=Jkt9JxZlA54
오쏘몰,독일 프리미엄 멀티비타민 오쏘몰 바이탈 M: 30일 섭취 후기,세일박스,2026-07-17,8,0,1,https://www.youtube.com/watch?v=JbQaNeDHvTE
오쏘몰,"오쏘몰이뮨은 면역력을 챙기고 싶을 때 딱! 건강한 하루를 위한 필수 비타민, 지금 바로 시작하세요! 💪✨",쭈미네 쇼핑 1호점,2026-07-16,0,0,1,https://www.youtube.com/watch?v=72eEmv4SrgA
오쏘몰,섭취 전 비교해볼 오쏘몰 추천순위,순정퍼피 - 인기상품 순위를 정해드려요!,2026-07-14,0,0,1,https://www.youtube.com/watch?v=JJRqu7A-364
오쏘몰,40대·50대가 관심 갖는 오쏘몰 베스트5,바겐인포,2026-07-14,1,0,1,https://www.youtube.com/watch?v=M4CK0sTGuQU
오쏘몰,독일 직수입 오쏘몰 이뮨! 30일분 꽉 채운 영양 섭취 비법 공개 | 솔직 후기,가격체크,2026-07-13,1,0,1,https://www.youtube.com/watch?v=6isKoGLR2x0
오쏘몰,피로 회복에 직빵으로 유명한 오쏘몰 이뮨 멀티비타민 🍋 좋은 건 알지만 비싸서 부담이었다면? 이참에 쟁이세요! #월간십일절,11번가 11TV,2026-07-06,10565,1,2,https://www.youtube.com/watch?v=Mm5ewUS5g2g
오쏘몰,"오쏘몰 이뮨, 활력 넘치는 당신을 위한 완벽한 선물! 🎁 (30일분 2박스 60일분 + 쇼핑백)",리뷰커맨더,2026-07-06,0,0,1,https://www.youtube.com/watch?v=AsFCc_F-oo4
오쏘몰,오쏘몰 이뮨 &amp; 바이탈 커플세트: 네이버 단독 10% 적립 혜택 놓치지 마세요!,가격체크,2026-07-06,0,0,1,https://www.youtube.com/watch?v=4y1UeiAdvMQ
오쏘몰,"✨오쏘몰 이뮨, 이것만은 꼭! 30일 섭취 후기 | 영양제 끝판왕? 솔직 리뷰",할인스캐너,2026-07-06,3,0,1,https://www.youtube.com/watch?v=NaskazdHVzg
오쏘몰,6년 만에 나타난 신상 오쏘몰 신상의 반전 정체,동아쏘시오그룹,2026-07-05,1335,3,0,https://www.youtube.com/watch?v=8pgC43FaDKo
오쏘몰,오쏘몰 배 제 1회 천하제일 내 새끼 자랑 대회 | 오쏘몰 이뮨 ODP | 오쏘몰 이뮨,동아쏘시오그룹,2026-07-05,20612,351,111,https://www.youtube.com/watch?v=TCivYWLgSvo
오쏘몰,"오쏘몰 이뮨, 한층 새로워진 비타민으로 활력을 채우세요!",구매박사,2026-07-05,0,0,1,https://www.youtube.com/watch?v=hvp2nFVMbh0
오쏘몰,"독일 직수입 오쏘몰 이뮨, 30일 2박스 60일분 섭취 후기 (feat. 쇼핑백)",찐템리뷰,2026-07-04,1,0,1,https://www.youtube.com/watch?v=mQkFgjO_Xqw
오쏘몰,"오쏘몰 이뮨, 활력 넘치는 하루를 위한 필수템! (feat. 쇼핑백 증정)",지름연구소,2026-07-03,0,0,1,https://www.youtube.com/watch?v=L47OoxJp940
오쏘몰,"독일 명품 멀티비타민 오쏘몰 이뮨, 30일 섭취 후기",핫템팡,2026-07-02,2,0,1,https://www.youtube.com/watch?v=omp3LHFzSZY
오쏘몰,AI 광고 ㅣ 동아제약 오쏘몰,디지털트리니티,2026-06-29,150,1,0,https://www.youtube.com/watch?v=GYpAKwkvANk
오쏘몰,"무난하지만 볼 만함 | 오쏘몰 이뮨 멀티비타민 액상형 + 타블렛 30회분 (34,310원) (와우무배) #Shorts",10초 핫딜,2026-06-22,68,0,1,https://www.youtube.com/watch?v=W5MdjZqKS1M
오쏘몰,오쏘몰 이뮨: 독일 직수입 프리미엄 멀티비타민으로 활력 충전!,할인스캐너,2026-06-21,4,0,1,https://www.youtube.com/watch?v=eZek7fQcoyU
아임비타,2026 ABC해커톤 아임비타팀의 발달장애인의 일상생활 서비스 이용 절차 이해를 지원하기 위한 생성형 AI 기반 맞춤형 안내 웹서비스 데모 영상,AiB Center - Hanshin University,2026-08-28,3,0,0,https://www.youtube.com/watch?v=JAwLaIgFKvc
아임비타,체력 이슈가 찾아오는 시기💪🏻🤦🏻‍♀️,이지호이죠_JiHo,2026-08-27,13395,292,12,https://www.youtube.com/watch?v=14EQ0ndVY3c
아임비타,#비타아미노젤#아임비타비타아미노젤#종근당,웃음보따리TV&편의점,2026-08-18,325,2,0,https://www.youtube.com/watch?v=q-i3CvNDbcA
아임비타,수험생에게 보내주세요,유병재,2026-08-18,504559,1415,211,https://www.youtube.com/watch?v=LSpmVQ2T0CM
아임비타,아임비타 김우빈X아임비타면 아임파인_#아임비타#오광리뷰#오광TV#Oh_KwangTV,오광TV,2026-08-05,36,1,0,https://www.youtube.com/watch?v=pXCcHW2thmg
아임비타,"면역비타민을 챙기고 싶다면, 아임비타 면역비타민C 1000으로 건강을 지키세요! 💪🍊",꿀템탐방,2026-08-04,1,1,1,https://www.youtube.com/watch?v=Gz0C6VqtQbI
아임비타,"올리브영 &#39;이뮨샷&#39; 정말 살 만할까   아임비타, 고려은단, 여에스더, GNM, 유한, 내츄럴플러스, 오쏘몰까지 성분과 함량을 전격 비교해 드립니다",약사톡,2026-08-04,21,0,0,https://www.youtube.com/watch?v=NRs_jpXsEGY
아임비타,"아임비타 멀티비타민 데일리, 60정, 1개",N12,2026-08-03,2,0,2,https://www.youtube.com/watch?v=OKrSU6PHXaA
아임비타,"아임비타 멀티비타민 데일리, 60정, 1개",N12,2026-08-03,0,0,0,https://www.youtube.com/watch?v=Igx1fKG3Q6U
아임비타,"아임비타 종근당건강 멀티비타민 이뮨샷 7 164.36g, 7회분, 1개",N12,2026-08-02,3,0,2,https://www.youtube.com/watch?v=kTk_POo2fGY
아임비타,"아임비타 종근당건강 멀티비타민 이뮨샷 7 164.36g, 7회분, 2개",N12,2026-08-02,3,0,2,https://www.youtube.com/watch?v=Y0EPZVnfOEc
아임비타,"아임비타 종근당건강 멀티비타민 이뮨샷 7 164.36g, 7회분, 2개",N12,2026-08-02,0,0,0,https://www.youtube.com/watch?v=tZCPp9cxtWI
아임비타,"아임비타 프리미엄 비타민 파트너, 아임비타면 아임파인!_#아임비타#오광TV#Oh_KwangTV",오광TV,2026-07-28,94,2,0,https://www.youtube.com/watch?v=zkqft4jsIag
아임비타,"종근당아임비타 추천, 완전 추천 사기템 가성비 TOP5",모두의 리뷰,2026-07-24,1,0,1,https://www.youtube.com/watch?v=BJ0BzzC1M9o
아임비타,섭취 전 비교해볼 아임비타 추천순위,순정퍼피 - 인기상품 순위를 정해드려요!,2026-07-23,2,0,1,https://www.youtube.com/watch?v=4tUwnvIF-MY
아임비타,부담 없이 챙기는 아임비타 TOP5,바겐인포,2026-07-23,0,0,1,https://www.youtube.com/watch?v=uNME3smurqI
아임비타,"아임비타 멀티비타민 이뮨샷 추천, 갓성비 최신제품 가성비 TOP5",모두의 리뷰,2026-07-23,3,0,1,https://www.youtube.com/watch?v=fmAhqpOasBM
아임비타,지금 편의점에서 1+1 행사 중일 때 무조건 쟁여두셔야 하는 비타 아미노젤!,스포츠봉,2026-07-22,12321,204,67,https://www.youtube.com/watch?v=43rSJSY1Fo8
아임비타,[아임비타X김우빈] 보기만 해도 아임파인해지는 메이킹 필름,건강 다다다 ㅣ 종근당건강 공식 유튜브,2026-07-09,612,15,0,https://www.youtube.com/watch?v=vcMIixFrka4
아임비타,[아임비타] 당신의 하루를 채우는 샷은? 아임비타 이뮨샷!,건강 다다다 ㅣ 종근당건강 공식 유튜브,2026-07-07,948,17,0,https://www.youtube.com/watch?v=kVLosnyGYvo
아임비타,아임비타에너지샷 추천 후기와 판매량으로 증명된 가성비 최고 상품 10가지,View튜브,2026-07-07,8,0,1,https://www.youtube.com/watch?v=uyA5sj60ICo
아임비타,[내돈내산] 코스트코 추천템! 방전될 때 하나씩 꺼내 먹는 아임비타 젤리✨,오잇템 (Oh! Item),2026-07-03,1417,12,0,https://www.youtube.com/watch?v=-9b-7ewizU4
아임비타,"아임비타 멀티비타민 이뮨샷 추천, 최신정보 후기확인 가성비 TOP5",모두의 리뷰,2026-06-29,1,0,1,https://www.youtube.com/watch?v=o9Y6CzlcTXg
아임비타,"아임비타 멀티비타민 데일리, 60정, 1개",C6,2026-06-29,76,0,2,https://www.youtube.com/watch?v=GAPKQmjMR5s
아임비타,"아임비타 멀티비타민 데일리, 60정, 1개",C6,2026-06-29,5,0,0,https://www.youtube.com/watch?v=Q2lMUPULrAc
아임비타,"아임비타 종근당건강 멀티비타민 이뮨샷 7 164.36g, 7회분, 1개",C6,2026-06-28,139,0,2,https://www.youtube.com/watch?v=eyX1ZT3immw
아임비타,"아임비타 종근당건강 멀티비타민 이뮨샷 7 164.36g, 7회분, 1개",C6,2026-06-28,3,0,0,https://www.youtube.com/watch?v=Ecn3-vVwnEE
아임비타,"아임비타 종근당건강 멀티비타민 이뮨샷 7 164.36g, 7회분, 2개",C6,2026-06-28,139,0,2,https://www.youtube.com/watch?v=2pscOyOgKKE
아임비타,"아임비타 종근당건강 멀티비타민 이뮨샷 7 164.36g, 7회분, 2개",C6,2026-06-28,2,0,0,https://www.youtube.com/watch?v=Un_5-Zy05T8
아임비타,"[광고] 비타민 음료_지친 오후, 당류 ZERO 에너지 충전 완료! 아임비타 에너지샷 | &quot;이 포스팅은 쿠팡 파트너스 활동의 일환으로 이에 따른 일정액의 수수료를 제공받습니다.&quot;",시니어 맞춤 정보,2026-06-24,42,1,1,https://www.youtube.com/watch?v=Spyc36EHHfY
아임비타,"[광고] 비타민 음료_지친 오후, 당류 ZERO 에너지 충전 완료! 아임비타 에너지샷｜이 포스팅은 쿠팡 파트너스 활동의 일환으로 이에 따른 일정액의 수수료를 제공받습니다.",시니어 맞춤 정보,2026-06-24,18,1,0,https://www.youtube.com/watch?v=2CCZdGxNRDs
아임비타,"2026 KPGA 클래식 with 아임비타 우승 장유빈의 선택, 타이틀리스트 Pro V1x",Titleist Korea,2026-06-17,818,5,1,https://www.youtube.com/watch?v=XSxpLLhN4lc
아임비타,"&quot;올리브영 &#39;이뮨샷&#39; 정말 살 만할까?&quot; 아임비타, 고려은단, 여에스더, GNM, 유한, 내츄럴플러스, 오쏘몰까지 성분과 함량을 전격 비교해 드립니다.",리틀약사,2026-06-16,3181,60,11,https://www.youtube.com/watch?v=029nBHfEcRk
아임비타,2026 KPGA 클래식 with 아임비타 우승! 장유빈의 선택,SBS Golf,2026-06-15,8447,25,1,https://www.youtube.com/watch?v=HSR4xTXSRc0
아임비타,[2026 KPGA] KPGA 클래식 with 아임비타 대회 H/LㅣKPGA 클래식 with 아임비타ㅣ웨이브 골프,웨이브 골프,2026-06-15,262,1,0,https://www.youtube.com/watch?v=CcywZJzKzOQ
아임비타,"Keep On Moving - [종근당] 프리미엄 비타민 파트너, 아임비타면 아임파인!",라이선스뮤직,2026-06-15,37,0,0,https://www.youtube.com/watch?v=mu6OP36lvJo
아임비타,장유빈프로님 KPGA 클래식 with 아임비타 우승 축하드려요 🤩🏆 #운동하는제이미아 #kpga #kpga버디스,운동하는 제이미아 JMIA,2026-06-15,215,8,0,https://www.youtube.com/watch?v=_dtEytizcTM
아임비타,[2026 KPGA] KPGA 클래식 with 아임비타 우승 시상식ㅣKPGA 클래식 with 아임비타 FRㅣ웨이브 골프,웨이브 골프,2026-06-14,20,0,0,https://www.youtube.com/watch?v=gYMMvt05n-k
아임비타,[2026 KPGA] KPGA 클래식 with 아임비타 FR H/LㅣKPGA 클래식 with 아임비타 FRㅣ웨이브 골프,웨이브 골프,2026-06-14,78,0,0,https://www.youtube.com/watch?v=qzd6wgwgotE
아임비타,[2026 KPGA] 독주를 막아라! 하이라이트_KPGA 클래식 with 아임비타 FR,SBS Golf,2026-06-14,723,10,0,https://www.youtube.com/watch?v=MMmhY4IKIys
아임비타,장유빈 + 아임비타 = 통산 4승!🏆,KPGA_케피캠,2026-06-14,2012,31,1,https://www.youtube.com/watch?v=M1iJowWzHkM
아임비타,"[2026 KPGA] LIV에서 돌아온 장유빈, 통산 4승째 기록!_KPGA 클래식 with 아임비타 FR",SBS Golf,2026-06-14,14035,78,15,https://www.youtube.com/watch?v=fKXblIRP9tk
아임비타,"🔥 역대급 특가 아임비타 비타민D2000IU 3박스 (19,090원) (무료) #Shorts",10초 핫딜,2026-06-14,186,1,1,https://www.youtube.com/watch?v=v9hEzDouDlY
아임비타,아직 모릅니다 #박은신🏌️‍♂️,KPGA_케피캠,2026-06-14,16126,28,2,https://www.youtube.com/watch?v=IysqxlrVyI4
아임비타,[2026 KPGA] KPGA 클래식 with 아임비타 3R H/LㅣKPGA 클래식 with 아임비타 3Rㅣ웨이브 골프,웨이브 골프,2026-06-13,867,7,1,https://www.youtube.com/watch?v=IKVJcaY2Oac
아임비타,"[2026 KPGA] 요동치는 리더보드 상단! 셋째 날, 선두에 오른 선수는? 👉 41분 몰아보기 쌩쌩 하이라이트_KPGA 클래식 with 아임비타 3R",SBS Golf,2026-06-13,8346,53,2,https://www.youtube.com/watch?v=7ZSEZhBDE10
아임비타,"[2026 KPGA] KPGA 복귀 후, 첫 우승 도전! 단독 선두 장유빈 주요장면_KPGA 클래식 with 아임비타 3R",SBS Golf,2026-06-13,25202,131,34,https://www.youtube.com/watch?v=1RK0OH3if6o
아임비타,[2026 KPGA] 치열한 선두 경쟁! 하이라이트_KPGA 클래식 with 아임비타 3R,SBS Golf,2026-06-13,257,1,1,https://www.youtube.com/watch?v=48aYpZfN6lQ
아임비타,불붙은 버디 사냥꾼 #장유빈🏌️‍♂️,KPGA_케피캠,2026-06-13,2007,24,2,https://www.youtube.com/watch?v=5mwAju-7vdk
아임비타,부담 없이 챙기는 아임비타 TOP5,순정퍼피 - 인기상품 순위를 정해드려요!,2026-06-12,0,0,1,https://www.youtube.com/watch?v=MD7JzOYRjKo
센트룸,40대 남성을 위한 센트룸 원데이팩 맨 40 30개입 솔직 리뷰,쿠폰여우,2026-08-28,2,0,1,https://www.youtube.com/watch?v=-WC90cZjaQg
센트룸,센트룸 우먼 더블업: 여성 건강을 위한 완벽 솔루션,쇼핑백과,2026-08-27,2,0,1,https://www.youtube.com/watch?v=FvdBw5I40Ec
센트룸,"센트룸 타마플렉스 올인원: 관절, 연골, 근육 건강을 한 번에! (타마린드강황추출복합물)",핫템팡,2026-08-26,0,0,0,https://www.youtube.com/watch?v=6wSMY03yZdM
센트룸,“광고 &quot; 센트룸 실버 우먼 50대 여성 종합비타민,아껴둔시간7778,2026-08-26,268,2,1,https://www.youtube.com/watch?v=QzM4OSyOSLE
센트룸,"센트룸 타마플렉스 올인원: 관절, 연골, 근육 건강을 한 번에! (타마린드강황주정추출복합물)",리뷰커맨더,2026-08-25,1,0,0,https://www.youtube.com/watch?v=FU76qP4XQSA
센트룸,센트룸 원데이팩 우먼 40,ALIITOWN,2026-08-25,0,0,0,https://www.youtube.com/watch?v=rD2WVTWbzRw
센트룸,50대 남성을 위한 센트룸 원데이팩 맨 50+ 솔직 리뷰,할인스캐너,2026-08-25,0,0,1,https://www.youtube.com/watch?v=yqEgmc3adRg
센트룸,50대 남성을 위한 올인원 영양제: 센트룸 원데이팩 맨 50+,써본사람들,2026-08-24,2,0,1,https://www.youtube.com/watch?v=JRQuXSCmukE
센트룸,#센트룸 #센트룸원데이팩 #센트룸우먼40 #센트룸원데이팩우먼40 #40대여자영양제 #40대여성영양제 #여성종합비타민 #여자종합비타민 #멀티비타민 #오메가3 #루테인,Oddly Minute,2026-08-23,8,0,1,https://www.youtube.com/watch?v=S_MW3IHCNXI
센트룸,#센트룸 #센트룸원데이팩 #센트룸원데이팩맨50 #센트룸맨50 #50대남자영양제 #50대남성영양제 #남자종합비타민 #50대종합비타민 #멀티비타민 #오메가3 #루테인 #쏘팔메토,Oddly Minute,2026-08-23,16,0,1,https://www.youtube.com/watch?v=_nGz_68C0ts
센트룸,22가지 비타민!!! 가뿐한 아침을 위한 여성 비타민,juni M,2026-08-23,226,1,1,https://www.youtube.com/watch?v=Cz__SvHo128
센트룸,비타민 필수 영양소 매일 지치는 형들을 위한 활력 꽉 찬 하루 공식,juni M,2026-08-23,1067,4,1,https://www.youtube.com/watch?v=_VoNQeurAQw
센트룸,센트룸 우먼 더블업: 여성 건강을 위한 필수템! 3개 세트 구성과 장점 알아보기,세일헌터,2026-08-23,0,0,1,https://www.youtube.com/watch?v=ylnbEY9ar0o
센트룸,50대 남자 영양제 고민 끝! 센트룸 실버 맨 50+ 275정 솔직 리뷰,조선장똘뱅이템,2026-08-22,54,0,1,https://www.youtube.com/watch?v=UF1gJ9Ps0TA
센트룸,🦠 미국 영양제 시리즈 ⑨ 여성 종합비타민,Neulsom_market,2026-08-20,179,0,0,https://www.youtube.com/watch?v=kd0lzsRYC5k
센트룸,미국 영양제 시리즈 ⑧ 남성 종합비타민,Neulsom_market,2026-08-20,58,0,0,https://www.youtube.com/watch?v=bQr0-nUPs2c
센트룸,"센트룸 타마플렉스 올인원: 관절, 연골, 근육 건강을 한 번에! (타마린드강황주정추출복합물)",쇼핑백과,2026-08-20,0,0,1,https://www.youtube.com/watch?v=3XWFnZxcEdE
센트룸,여성 건강 필수템! 센트룸 우먼 더블업 3개 묶음으로 챙기세요!,쿠폰스캐너,2026-08-18,0,0,1,https://www.youtube.com/watch?v=X9TuzLNuFrA
센트룸,"센트룸 우먼 더블업, 60정, 1개",유니의 득템 TV,2026-08-16,196,0,0,https://www.youtube.com/watch?v=l1s_xAuW5R8
센트룸,비타민 같은 존재감?? #건강 #승승클로스,[승승클로스]seungseungclaus,2026-08-13,2289,65,85,https://www.youtube.com/watch?v=d-lbZwd_Rto
센트룸,센트룸 여성 맞춤 멀티비타민 더블업,ALIITOWN,2026-08-12,5,1,0,https://www.youtube.com/watch?v=PvfYXitNUd8
센트룸,"정재훈 약사가 꼽은 영양제, 나이 들수록 종합비타민 하나는 꼭 챙기세요 원어데이·센트룸 브랜드는 뭐든 상관없다 #영양제 #비타민 #건강정보",스냅저널,2026-08-12,4187,13,1,https://www.youtube.com/watch?v=am_5Y6ZzdNs
센트룸,Centrum Kids Multivitamin Gummies #centrum #centrumkidsgummies #centrumkids #vitaminsforkids,Mommy Emz,2026-08-11,597,3,1,https://www.youtube.com/watch?v=SMSAsKBesV0
센트룸,센트룸실버우먼 미국현지매장에서는 이가격 쿠팡에서는? 프로필에서 가격확인,미국장바구니,2026-08-10,922,5,0,https://www.youtube.com/watch?v=mkVr1jS-s1E
센트룸,"급하면 볼 만한 딜 | Centrum 센트룸 실버 50+ 멀티비타민 275정 남여세트 (56,999원) (무료) #Shorts",10초 핫딜,2026-08-07,1,0,1,https://www.youtube.com/watch?v=EjDvD1qGS0k
센트룸,매일 챙기는 칼슘 루틴! 센트룸 칼슘+D 미니로 간편하게,딜포켓,2026-08-06,263,1,0,https://www.youtube.com/watch?v=UB8xaR_MtWs
센트룸,"센트룸 실버 우먼 멀티비타민 76.7g, 50정, 1개",N12,2026-08-02,7,0,2,https://www.youtube.com/watch?v=mg28Bk-fg9s
센트룸,센트룸 우먼 더블업: 여성 건강을 위한 올인원 솔루션,실사용리포트,2026-08-01,4,0,1,https://www.youtube.com/watch?v=NtfclQY2C50
센트룸,하루 한 번! 남성 멀티비타민 센트룸 맨 더블업,linkable27,2026-07-30,21,0,0,https://www.youtube.com/watch?v=Hu2tXxjWj54
센트룸,센트룸 맨 더블업 멀티비타민,ALIITOWN,2026-07-29,21,1,0,https://www.youtube.com/watch?v=Sknb0tDa65A
센트룸,무릎 보호대가 일상이 된 최유라가 알려주는 관절 지킴이 꿀템! #Shorts,우아한클래스,2026-07-25,1615,5,0,https://www.youtube.com/watch?v=Y3N6GNCLJeM
센트룸,우즈베키스탄 센트룸항공 인천 → 타슈켄트 직항 후기!  #CentrumAir #타슈켄트 #인천공항 #기내식 #해외여행 #비행기후기 #중앙아시아 #여행,우즈파인더 UzFinder,2026-07-19,803,5,0,https://www.youtube.com/watch?v=8fN2uj7TVbU
센트룸,코스트코 18년차 회원이 이번주 구경하고 온 제품들,살림구조대,2026-07-16,163312,1315,28,https://www.youtube.com/watch?v=tbXYx_9N-7c
센트룸,맛있고 간편한 종합비타민,왓츠인마이헤드,2026-07-08,177,0,1,https://www.youtube.com/watch?v=CIUgt6q4umk
센트룸,센트룸 실버 우먼: 50대 이상 여성을 위한 맞춤 영양 솔루션,이거어때,2026-06-30,9,0,1,https://www.youtube.com/watch?v=7njYrTUdRwI
센트룸,센트룸 구미 캐릭터 3D 광고 애니메이션 (2024),카지스튜디오,2026-06-29,21,1,0,https://www.youtube.com/watch?v=IlW4VoFuMRg
센트룸,"센트룸 실버 우먼 멀티비타민 76.7g, 50정, 1개",C6,2026-06-27,1,0,0,https://www.youtube.com/watch?v=MwiIJ4soBcA
센트룸,센트룸 우먼 더블업 활력 충전 여성 멀티비타민 후기,하이데이,2026-06-26,21,0,0,https://www.youtube.com/watch?v=LYZcSq7Bg_k
센트룸,"센트룸멀티구미 추천, 핫템 모아보기 가성비 TOP5",이소연화유,2026-06-22,1,0,1,https://www.youtube.com/watch?v=sHJZ_R7nLjQ
센트룸,[광고] 종합비타민 추천 | 센트룸 6종 성별 나이별 완벽 가이드 | &quot;이 포스팅은 쿠팡 파트너스 활동의 일환으로 이에 따른 일정액의 수수료를 제공받습니다.&quot;,시니어 맞춤 정보,2026-06-17,14,1,1,https://www.youtube.com/watch?v=EIl0P9DsthM
센트룸,40대·50대가 관심 갖는 센트룸실버우먼 베스트5,랭킹찰리,2026-06-16,1,0,1,https://www.youtube.com/watch?v=lJM6MME5TC4
센트룸,[캠코더] 헤일리온 소비자와 소통…&#39;센트룸 데이&#39; 건강 이야기 확장,데일리팜,2026-06-10,28,0,0,https://www.youtube.com/watch?v=NyHsW7oAAnE
